,Title,Director,Cast,TMDB_id,overview,genre,actorname_1,actorname_2,actorname_3,tag_all,tag_1,tag_2
0,Pugaippadam,Rajesh Lingam,"Amjad, Priya Anand, Harish",112113,"Guru, Nanda, Bala, Krishna, KK and Gowri are a group of college friends. Shiny becomes a part of their group. Krishna and Shiny are in love with each other but decide to keep their relationship a secret and things begin to unravel when Bala attempts suicide.",Drama,Amjad, Priya Anand, Harish,"Guru, Nanda, Bala, Krishna, KK and Gowri are a group of college friends. Shiny becomes a part of their group. Krishna and Shiny are in love with each other but decide to keep their relationship a secret and things begin to unravel when Bala attempts suicide. Drama Rajesh Lingam Amjad  Priya Anand  Harish","Drama Rajesh Lingam Amjad  Priya Anand Guru, Nanda, Bala, Krishna, KK and Gowri are a group of college friends. Shiny becomes a part of their group. Krishna and Shiny are in love with each other but decide to keep their relationship a secret and things begin to unravel when Bala attempts suicide.",Drama Rajesh Lingam Amjad  Priya Anand
1,Thunichal,Majith,"Arun Vijay, Swathika, Shiva Munjal, Ramana",112316,"Thunichal is a 2010 Indian Tamil-language action film written and directed by Majith. Starring Arun Vijay and newcomer Shiva Manjal, the film was released on 1 January 2010, after many delays.",Drama,Arun Vijay, Swathika, Shiva Munjal,"Thunichal is a 2010 Indian Tamil-language action film written and directed by Majith. Starring Arun Vijay and newcomer Shiva Manjal, the film was released on 1 January 2010, after many delays. Drama Majith Arun Vijay  Swathika  Shiva Munjal","Drama Majith Arun Vijay  Swathika Thunichal is a 2010 Indian Tamil-language action film written and directed by Majith. Starring Arun Vijay and newcomer Shiva Manjal, the film was released on 1 January 2010, after many delays.",Drama Majith Arun Vijay  Swathika
2,Kalasaaram,Kutty Radha,"Satish, Yathra",unknown,unknown,unknown,Satish, Yathra,unknown,unknown unknown Kutty Radha Satish  Yathra unknown,unknown Kutty Radha Satish  Yathra unknown,unknown Kutty Radha Satish  Yathra
3,Aayirathil Oruvan,Selvaraghavan,"Karthi Sivakumar, Reemma Sen, Andrea Jeremiah, Parthiban",69597,"Anitha, a government official, embarks on a journey to find Chandramouli, an archaeologist, who went to Vietnam to search for any existence of the prince of the Chola dynasty.",Action Adventure,Karthi Sivakumar, Reemma Sen, Andrea Jeremiah,"Anitha, a government official, embarks on a journey to find Chandramouli, an archaeologist, who went to Vietnam to search for any existence of the prince of the Chola dynasty. Action Adventure Selvaraghavan Karthi Sivakumar  Reemma Sen  Andrea Jeremiah","Action Adventure Selvaraghavan Karthi Sivakumar  Reemma Sen Anitha, a government official, embarks on a journey to find Chandramouli, an archaeologist, who went to Vietnam to search for any existence of the prince of the Chola dynasty.",Action Adventure Selvaraghavan Karthi Sivakumar  Reemma Sen
4,Kutty,M. Jawahar,"Dhanush, Shriya Saran, Sameer Dattani",445329,"The film revolves around a young girl who is forced into child labour working for an urban family after a tragedy in her own family. Paavaadai (Nassar) is a potter living in a village in the outskirts of Madurai. Even though his profession is in a miserable condition, he has high hopes for his daughter Kannammaa (Baby Swetha) and raises her with much affection. Unfortunately, he dies in an accident and this forces Kannammaa to be sent to work for an urban family.",unkown,Dhanush, Shriya Saran, Sameer Dattani,"The film revolves around a young girl who is forced into child labour working for an urban family after a tragedy in her own family. Paavaadai (Nassar) is a potter living in a village in the outskirts of Madurai. Even though his profession is in a miserable condition, he has high hopes for his daughter Kannammaa (Baby Swetha) and raises her with much affection. Unfortunately, he dies in an accident and this forces Kannammaa to be sent to work for an urban family.  M. Jawahar Dhanush  Shriya Saran  Sameer Dattani"," M. Jawahar Dhanush  Shriya Saran The film revolves around a young girl who is forced into child labour working for an urban family after a tragedy in her own family. Paavaadai (Nassar) is a potter living in a village in the outskirts of Madurai. Even though his profession is in a miserable condition, he has high hopes for his daughter Kannammaa (Baby Swetha) and raises her with much affection. Unfortunately, he dies in an accident and this forces Kannammaa to be sent to work for an urban family.", M. Jawahar Dhanush  Shriya Saran
5,Naanayam,Shakti S. Rajan,"Prasanna, Sibiraj, Ramya Raj, S. P. Balasubrahmanyam",69613,Ravi is an electronics engineer who works in a bank and is in love with Nandhini. Fareed is a criminal who claims that he can prove that Ravi has killed a man and blackmails him into robbing the bank.,Drama,Prasanna, Sibiraj, Ramya Raj,Ravi is an electronics engineer who works in a bank and is in love with Nandhini. Fareed is a criminal who claims that he can prove that Ravi has killed a man and blackmails him into robbing the bank. Drama Shakti S. Rajan Prasanna  Sibiraj  Ramya Raj,Drama Shakti S. Rajan Prasanna  Sibiraj Ravi is an electronics engineer who works in a bank and is in love with Nandhini. Fareed is a criminal who claims that he can prove that Ravi has killed a man and blackmails him into robbing the bank.,Drama Shakti S. Rajan Prasanna  Sibiraj
6,Porkkalam,Bandi Saroj Kumar,"Kishore, Sathyan, Smitha, Sampath Raj",112112,"Porkkalam (Tamil: போர்க்களம்; English: Battlefield) is a 2010 Indian Tamil-language action film directed by debutant Bandi Saroj Kumar. Starring Kishore of Polladhavan and Vennila Kabaddi Kuzhu fame, Tinnu Anand, who starred in Mani Ratnam's Nayagan and Bombay, comedy actor Sathyan and Smitha, a newcomer from Karnataka, in lead roles and seven artists as Villains, the film has musical score by Rohit Kulkarni and cinematography by J. Mahendran. The film was released on 14 January 2010.",Drama Action,Kishore, Sathyan, Smitha,"Porkkalam (Tamil: போர்க்களம்; English: Battlefield) is a 2010 Indian Tamil-language action film directed by debutant Bandi Saroj Kumar. Starring Kishore of Polladhavan and Vennila Kabaddi Kuzhu fame, Tinnu Anand, who starred in Mani Ratnam's Nayagan and Bombay, comedy actor Sathyan and Smitha, a newcomer from Karnataka, in lead roles and seven artists as Villains, the film has musical score by Rohit Kulkarni and cinematography by J. Mahendran. The film was released on 14 January 2010. Drama Action Bandi Saroj Kumar Kishore  Sathyan  Smitha","Drama Action Bandi Saroj Kumar Kishore  Sathyan Porkkalam (Tamil: போர்க்களம்; English: Battlefield) is a 2010 Indian Tamil-language action film directed by debutant Bandi Saroj Kumar. Starring Kishore of Polladhavan and Vennila Kabaddi Kuzhu fame, Tinnu Anand, who starred in Mani Ratnam's Nayagan and Bombay, comedy actor Sathyan and Smitha, a newcomer from Karnataka, in lead roles and seven artists as Villains, the film has musical score by Rohit Kulkarni and cinematography by J. Mahendran. The film was released on 14 January 2010.",Drama Action Bandi Saroj Kumar Kishore  Sathyan
7,Goa,Venkat Prabhu,"Jai, Premji Amaren, Vaibhav Reddy, Sneha, Melanie Marie, Piaa Bajpai",627194,"Three youths are born and brought up in a village. Their dream is to marry foreigners and live a fancy life abroad. To materialize their dream, they set off to Goa. Will they hit the jackpot there?",unkown,Jai, Premji Amaren, Vaibhav Reddy,"Three youths are born and brought up in a village. Their dream is to marry foreigners and live a fancy life abroad. To materialize their dream, they set off to Goa. Will they hit the jackpot there?  Venkat Prabhu Jai  Premji Amaren  Vaibhav Reddy"," Venkat Prabhu Jai  Premji Amaren Three youths are born and brought up in a village. Their dream is to marry foreigners and live a fancy life abroad. To materialize their dream, they set off to Goa. Will they hit the jackpot there?", Venkat Prabhu Jai  Premji Amaren
8,Jaggubhai,K. S. Ravikumar,"Sarath Kumar, Shriya Saran, Goundamani",78593,"Jagannathan, (Sarath Kumar) fondly known as ‘Jaggubhai’. is an Indian Police Officer with sharp methods. His way of dealing the criminals strikes terror in the underground world. Tough is just an ordinary word to describe this upright, straight forward police officer. Jaggubhai is sent to Australia on an important mission to deal with anti social elements there. In Australia, Jaggubai meets Meena (Srisha) and they both fall in love with each other. Jaggubai fails in his mission for which he came to Australia and the brief romance with Meena also ends abruptly....",Action Drama,Sarath Kumar, Shriya Saran, Goundamani,"Jagannathan, (Sarath Kumar) fondly known as ‘Jaggubhai’. is an Indian Police Officer with sharp methods. His way of dealing the criminals strikes terror in the underground world. Tough is just an ordinary word to describe this upright, straight forward police officer. Jaggubhai is sent to Australia on an important mission to deal with anti social elements there. In Australia, Jaggubai meets Meena (Srisha) and they both fall in love with each other. Jaggubai fails in his mission for which he came to Australia and the brief romance with Meena also ends abruptly.... Action Drama K. S. Ravikumar Sarath Kumar  Shriya Saran  Goundamani","Action Drama K. S. Ravikumar Sarath Kumar  Shriya Saran Jagannathan, (Sarath Kumar) fondly known as ‘Jaggubhai’. is an Indian Police Officer with sharp methods. His way of dealing the criminals strikes terror in the underground world. Tough is just an ordinary word to describe this upright, straight forward police officer. Jaggubhai is sent to Australia on an important mission to deal with anti social elements there. In Australia, Jaggubai meets Meena (Srisha) and they both fall in love with each other. Jaggubai fails in his mission for which he came to Australia and the brief romance with Meena also ends abruptly....",Action Drama K. S. Ravikumar Sarath Kumar  Shriya Saran
9,Kathai,Abhishek Shankar,"Shaan Kumar, Nivedhitha, Abhinay",unknown,unknown,unknown,Shaan Kumar, Nivedhitha, Abhinay,unknown unknown Abhishek Shankar Shaan Kumar  Nivedhitha  Abhinay,unknown Abhishek Shankar Shaan Kumar  Nivedhitha unknown,unknown Abhishek Shankar Shaan Kumar  Nivedhitha
